,ArticleViolated,Authority,Country,Date,Fine,Org_fined,Type,Country_code
158,Art. 6 GDPR,Data Protection Authority of Baden-Wuerttemberg,GERMANY,2019-05-09,1400,Police Officer,Non-compliance with lawful basis for data processing,09
159,Art. 15 GDPR,Czech Data Protection Auhtority (UOOU),CZECH REPUBLIC,2019-05-06,194,Public utility company,Non-compliance with lawful basis for data processing,06
160,Art. 32 GDPR,Norwegian Supervisory Authority (Datatilsynet),NORWAY,2019-04-29,203000,Oslo Municipal Education Department,Failure to implement sufficient measures to ensure information security,18
161,Art. 6 GDPR,Polish National Personal Data Protection Office (UODO),POLAND,2019-04-25,12950,Sports association,Non-compliance with lawful basis for data processing,19
162,Art. 32 GDPR,Italian Data Protection Authority (Garante),ITALY,2019-04-24,50000,Movimento 5 Stelle Party,Failure to implement sufficient measures to ensure information security,13
163,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-04-17,9400,Not disclosed,Non-compliance with lawful basis for data processing,11
164,"Art. 5 (1) a) GDPR, Art. 9 (1) GDPR, Art. 9 (2) GDPR, Art. 6 (1) GDPR",Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-04-08,510,Medical service providers,Non-compliance with lawful basis for data processing,03
165,"Art. 33 (1) GDPR, Art. 33 (5) GDPR, Art. 34 (1) GDPR",Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-04-05,34375,Political Party - Undisclosed,Information obligation non-compliance,11
166,Art. 15 GDPR,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-04-04,1900,Not disclosed,Non-compliance with subjects' rights protection safeguards,11
167,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Norwegian Supervisory Authority (Datatilsynet),NORWAY,2019-03-29,170000,Bergen Municipality,Failure to implement sufficient measures to ensure information security,18
168,Art. 14 GDPR,Polish National Personal Data Protection Office (UODO),POLAND,2019-03-26,219538,Private company,Information obligation non-compliance,19
169,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-03-26,5100,A.P. EOOD,Non-compliance with lawful basis for data processing,03
170,Art. 15 GDPR,Portuguese Data Protection Authority (CNPD),PORTUGAL,2019-03-25,2000,Not available,Non-compliance with subjects' rights protection safeguards,20
171,"Art. 5 (1) c) GDPR, Art. 5 (1) e) GDPR",Czech Data Protection Authority (UOOU),CZECH REPUBLIC,2019-03-21,9704,Not available,Failure to comply with data processing principles,06
172,"Art. 5 (1) b) GDPR, Art. 5 (1) c) GDPR, Art. 13 (3) GDPR, Art. 17 (1) GDPR, Art. 6 (4) GDRP",Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-03-04,3200,Not disclosed,Non-compliance with subjects' rights protection safeguards,11
173,Art. 6 GDPR,Data Protection Authority of Berlin,GERMANY,2019-03-01,50000,N26,Non-compliance with lawful basis for data processing,09
174,Art. 32 GDPR,Czech Data Protection Authority (UOOU),CZECH REPUBLIC,2019-02-28,582,Not available,Failure to implement sufficient measures to ensure information security,06
175,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-02-28,3200,Kecskemét Mayor's Office,Non-compliance with lawful basis for data processing,11
176,"Art. 6 GDPR, Art. 5 (1) a) GDPR",Bulgarian Commission for Personal Data Protection (KZLD),BULGARIA,2019-02-26,27100,Telecommunication service provider,Non-compliance with lawful basis for data processing,03
177,Art. 15 GDPR,Czech Data Protection Authority (UOOU),CZECH REPUBLIC,2019-02-26,776,Not available,Non-compliance with subjects' rights protection safeguards,06
178,Art. 15 GDPR,Bulgarian Commission for Personal Data Protection (KZLD),BULGARIA,2019-02-22,500,Unknown company,Non-compliance with subjects' rights protection safeguards,03
179,"Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR",Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-02-20,1560,Unknown company,Failure to comply with data processing principles,11
180,"Art. 5 GDPR, Art. 32 GDPR",Data Protection Commissioner of Malta,MALTA,2019-02-18,5000,Lands Authority,Failure to implement sufficient measures to ensure information security,16
181,Art. 5 (1) d) GDPR,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-02-08,1560,A bank,Failure to comply with data processing principles,11
182,"Art. 6 GDPR, Art. 5 GDPR",Data Protection Authority of Sachsen-Anhalt,GERMANY,2019-02-05,2500,Private individual,Non-compliance with lawful basis for data processing,09
183,Art. 15 GDPR,Portuguese Data Protection Authority (CNPD),PORTUGAL,2019-02-05,20000,Not available,Non-compliance with lawful basis for data processing,20
184,Art. 5 (1) a) GDPR,Czech Data Protection Authority (UOOU),CZECH REPUBLIC,2019-02-04,1165,Car renting company,Failure to implement sufficient measures to ensure information security,06
185,Art. 32 GDPR,Czech Data Protection Authority (UOOU),CZECH REPUBLIC,2019-02-04,1165,Credit brokerage,Failure to implement sufficient measures to ensure information security,06
186,"Art. 13 GDPR, Art. 14 GDPR, Art. 6 GDPR, Art. 4 GDPR, Art. 5 GDPR",French Data Protection Authority (CNIL),FRANCE,2019-01-21,50000000,Google Inc.,Several,08
187,"Art. 6 GDPR, Art. 5 (1) a) GDPR",Bulgarian Commission for Personal Data Protection (KZLD),BULGARIA,2019-01-17,500,Bank,Non-compliance with lawful basis for data processing,03
188,Art. 6 GDPR,Czech Data Protection Authority (UOOU),CZECH REPUBLIC,2019-01-10,388,Company,Non-compliance with lawful basis for data processing,06
189,"Art. 5 GDPR, Art. 6 GDPR",Cypriot Data Protection Commissioner,CYPRUS,2019-01-01,14000,Doctor,Non-compliance with lawful basis for data processing,05
190,"Art. 5 (1) a) GDPR, Art. 5 (1) c) GDPR, Art. 6 (1) GDPR, Art. 13 GDPR",Austrian Data Protection Authority (DSB),AUSTRIA,2018-12-20,2200,Private individual,Non-compliance with lawful basis for data processing,01
191,"Art. 12 (4) GDPR, Art. 15 GDPR, Art. 18 (1) c) GDPR, Art. 13 GDPR",Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2018-12-18,3200,Not disclosed,Failure to implement sufficient measures to ensure information security,11
192,Art. 28 (3) GDPR,Data Protection Authority of Hamburg,GERMANY,2018-12-17,5000,Kolibri Image Regina und Dirk Maass GbR,Failure to collect sufficient data processing consent,09
193,Art. 13 GDPR,Austrian Data Protection Authority (DSB),AUSTRIA,2018-12-12,4800,Bookmaker,Information obligation non-compliance,01
194,Art. 32 GDPR,Data Protection Authority of Baden-Wuerttemberg,GERMANY,2018-11-21,20000,Knuddels.de,Failure to implement sufficient measures to ensure information security,09
195,Art. 15 GDPR,Czech Data Protection Auhtority (UOOU),CZECH REPUBLIC,2018-10-25,388,Not available,Non-compliance with subjects' rights protection safeguards,06
196,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Austrian Data Protection Authority (DSB),AUSTRIA,2018-09-27,300,Private individual,Non-compliance with lawful basis for data processing,01
197,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Portuguese Data Protection Authority (CNPD),PORTUGAL,2018-07-17,400000,Hospital,Failure to implement sufficient measures to ensure information security,20
198,"Art. 5 (1) b) GDPR, Art. 6 GDPR",Bulgarian Commission for Personal Data Protection (KZLD),BULGARIA,2018-05-12,500,Bank,Non-compliance with lawful basis for data processing,03
199,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Austrian Data Protection Authority (DSB),AUSTRIA,2019-10-23,18000000,Austrian Post,Non-compliance with lawful basis for data processing,01
200,Art. 32 GDPR,Data Protection Authority of Baden-Wuerttemberg,GERMANY,2019-07-30,80000,Unknown,Failure to implement sufficient measures to ensure information security,09
201,Art. 32 GDPR,Data Protection Authority of Baden-Wuerttemberg,GERMANY,2019-10-17,80000,Unknown,Failure to implement sufficient measures to ensure information security,09
202,"Art. 5 GDPR, Art. 25 GDPR",Data Protection Authority of Baden-Wuerttemberg,GERMANY,2019-10-30,14500000,Deutsche Wohnen SE,Failure to comply with data processing principles,09
203,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2019-10-25,36000,Vodafone Espana,Non-compliance with lawful basis for data processing,23
204,Art.14 GDPR,Personal Data Protection Office,POLAND,2019-03-29,220000,Bisnode,Non-compliance with the right of consent,19
205,Art.14 GDPR,Information Commissioner,UNITED KINGDOM,2019-06-24,100000,EE,Non-compliance with the right of consent,25
206,Unknown,Information Commissioner,UNITED KINGDOM,2019-07-10,0,Driver and Vehicle Licensing Agency (DVLA),Non-compliance (Data Breach),25
207,Data Protection Act 2018,Information Commissioner,UNITED KINGDOM,2019-07-16,80000,Life at Parliament View,Non-compliance (Data Breach),25
208,Art.14 of the GDPR,Information Commissioner,UNITED KINGDOM,2019-02-01,140000,Leave.EU & GoSkippy,Non-compliance with the right of consent,25
209,Art. 28 of the GDPR,Data Protection Authority,GERMANY,2019-01-23,5000,Small shipping company,https://dataprivacy.foxrothschild.com/2019/01/articles/european-union/hessian-dpa-fines-shipping-company-for-missing-data-processing-agreement/,09
210,Art. 5 (1) d) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,1970-01-01,5000,Vodafone Espana,Failure to comply with processing principles,23
211,Art. 5 (1) f) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,1970-01-01,60000,Gestion De Cobros Yo Cobro SL,Non-compliance with lawful basis for data processing,23
212,Art. 5 (1) d) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,1970-01-01,27000,Vodafone Espana,Non-compliance with subjects' rights protection safeguards,23
213,Art. 5 (1) f) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,1970-01-01,60000,ENDESA,Non-compliance with lawful basis for data processing,23
214,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,1970-01-01,12000,Restaurant,Non-compliance with lawful basis for data processing,23
215,Art. 15 GDPR,Slovak Data Protection Office,SLOVAKIA,1970-01-01,0,Unknown,Non-compliance with subjects' rights protection safeguards,22
216,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Slovak Data Protection Office,SLOVAKIA,1970-01-01,0,Unknown,Failure to implement sufficient measures to ensure information security,22
217,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Slovak Data Protection Office,SLOVAKIA,1970-01-01,0,Unknwon,Failure to implement sufficient measures to ensure information security,22
218,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Slovak Data Protection Office,SLOVAKIA,1970-01-01,0,Unknown,Non-compliance with lawful basis for data processing,22
219,Failure to implement sufficient measures to ensure information security,Slovak Data Protection Office,SLOVAKIA,1970-01-01,0,Unknown,"<a href=""https://www.privacy-regulation.eu/en/32.htm"">Art. 32 GDPR</a>",22
220,Art. 6 GDPR,Data Protection Authority of Hamburg,GERMANY,1970-01-01,500,Unknown,Non-compliance with lawful basis for data processing,09
221,Art. 6 GDPR,Data Protection Authority of Saarland,GERMANY,1970-01-01,0,Unknown,Non-compliance with lawful basis for data processing,09
222,"Art. 83 (4) a) GDPR, Art. 33 (1) GDPR, Art. 34 (1) GDPR",Data Protection Authority of Hamburg,GERMANY,2018-12-01,20000,Unknown,Information obligation non-compliance,09
223,Art. 32 GDPR,Data Protection Authority of Baden-Wuerttemberg,GERMANY,2019-07-30,80000,Unknown,Failure to implement sufficient measures to ensure information security,09
224,"Art. 5 GDPR, Art. 25 GDPR",Data Protection Authority of Berlin,GERMANY,2019-10-01,0,Deutsche Wohnen SE,Failure to comply with data processing principles,09
225,Unknown,Austrian Data Protection Authority (DSB),AUSTRIA,2018-11-01,1800,Restaurant,Unknown,01
226,Art. 15 GDPR,Cypriot Data Protection Commissioner,CYPRUS,2019-03-01,5000,State Hospital,Non-compliance with subjects' rights protection safeguards,05
227,Art. 5(1) e) GDPR,Danish Data Protection Authority (Datatilsynet),DENMARK,2019-03-01,160000,Taxa 4x35,Failure to comply with processing principles,07
228,Art. 32 GDPR,Dutch Supervisory Authority for Data Protection (AP),NETHERLANDS,2019-10-31,900000,UWV - Insurance provider,Failure to implement sufficient measures to ensure information security,17
229,Art. 5 GDPR,Polish National Personal Data Protection Office (UODO),POLAND,2019-10-16,47000,ClickQuickNow,Failure to comply with processing principles,19
230,Art. 32 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-01-21,12000,Madrileña Red de Gas,Failure to implement sufficient measures to ensure information security,23
231,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-10-31,6000,Jocker Premium Invex,Non-compliance with lawful basis for data processing,23
232,Art. 13 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-11-06,1500,Cerrajero Online,Information obligation non-compliance,23
233,Art. 13 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-11-07,900,TODOTECNICOS24H S.L.,Information obligation non-compliance,23
234,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-11-13,3000,General Confederation of Labour,Non-compliance with lawful basis for data processing,23
235,Art. 5 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-11-14,30000,Telefónica SA,Non-compliance with lawful basis for data processing,23
236,Art. 32 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-11-19,60000,Corporacion RTVE,Failure to implement sufficient measures to ensure information security,23
237,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-11-21,60000,Viaqua Xestión SA,Non-compliance with lawful basis for data processing,23
238,"Art. 12 GDPR, Art. 17 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-11-22,2000,BNP Paribas SA,Information obligation non-compliance,21
239,Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-11-25,11000,Fan Courier Express SRL,Failure to implement sufficient measures to ensure information security,21
240,"Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 21 GDPR",French Data Protection Authority (CNIL),FRANCE,2019-11-21,500000,Futura Internationale,Non-compliance with subjects' rights protection safeguards,08
241,Art. 6 GDPR,Data State Inspectorate (DSI),LATVIA,2019-11-01,150000,Unknown,Non-compliance with lawful basis for data processing,14
242,Art. 6 GDPR,Cypriot Data Protection Commissioner,CYPRUS,2019-03-01,10000,Newspaper,Non-compliance with lawful basis for data processing,05
243,Art. 6 GDPR,Czech Data Protection Authority (UOOU),CZECH REPUBLIC,1970-01-01,3140,UniCredit Bank,Non-compliance with lawful basis for data processing,06
244,"Art. 6 GDPR, Art. 7 GDPR",Czech Data Protection Authority (UOOU),CZECH REPUBLIC,1970-01-01,588,Alza.cz a.s.,Non-compliance with lawful basis for data processing,06
245,Art. 32 GDPR,Czech Data Protection Authority (UOOU),CZECH REPUBLIC,1970-01-01,980,Individual entrepreneur,Failure to implement sufficient measures to ensure information security,06
246,Art. 13 GDPR,Portuguese Data Protection Authority (CNPD),PORTUGAL,2019-03-19,2000,Not known,Information obligation non-compliance,20
247,Art. 32 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-11-19,60000,Xfera Moviles S.A.,Failure to implement sufficient measures to ensure information security,23
248,Art. 32 GDPR,Slovak Data Protection Office,SLOVAKIA,2019-09-27,40000,Slovak Telekom,Failure to implement sufficient measures to ensure information security,22
249,Art. 32 GDPR,Slovak Data Protection Office,SLOVAKIA,2019-11-13,50000,Social Insurance Agency,Failure to implement sufficient measures to ensure information security,22
250,Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-11-29,20000,SC CNTAR TAROM SA,Failure to implement sufficient measures to ensure information security,21
251,Art. 25 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-11-29,80000,ING Bank N.V. Amsterdam,Failure to comply with data processing principles,21
252,"Art. 12 GDPR, Art. 15 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-11-29,2500,Royal President S.R.L.,Information obligation non-compliance,21
253,Art. 6 GDPR,Belgian Data Protection Authority (APD),BELGIUM,2019-11-28,5000,City councilor,Non-compliance with lawful basis for data processing,02
254,Art. 6 GDPR,Belgian Data Protection Authority (APD),BELGIUM,2019-11-28,5000,Mayor,Non-compliance with lawful basis for data processing,02
255,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-12-02,10000,Ikea Ibérica,Non-compliance with lawful basis for data processing,23
256,Art. 5 GDPR,Data Protection Authority of Rheinland-Pfalz,GERMANY,2019-12-03,105000,Rheinland-Pfalz Hospital,Non-compliance with lawful basis for data processing,09
257,Art. 37 GDPR,The Federal Commissioner for Data Protection and Freedom of Information (BfDI),GERMANY,2019-12-09,10000,Rapidata GmbH,No data protection officer appointed,09
258,"<a href=""https://www.privacy-regulation.eu/en/32.htm"">Art. 32 GDPR</a>",The Federal Commissioner for Data Protection and Freedom of Information (BfDI),GERMANY,2019-12-09,9550000,1&1 Telecom GmbH,Failure to implement sufficient measures to ensure information security,09
259,Art. 6 GDPR,Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-07-24,28160,Debt collection agency,Non-compliance with lawful basis for data processing,03
260,Art. 6 (1) GDPR,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-10-01,15100,Town of Kerepes,Non-compliance with lawful basis for data processing,11
261,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-11-28,75000,Curenergía Comercializador de último recurso,Non-compliance with lawful basis for data processing,23
262,Art. 6 (1) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-10-19,21000,Vodafone Espana,Non-compliance with lawful basis for data processing,23
263,Art. 5 (1) f) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-04-01,36000,Vodafone Espana,Non-compliance with lawful basis for data processing,23
264,Art. 32 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-06-24,48000,Vodafone ONO,Failure to implement sufficient measures to ensure information security,23
265,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2019-06-24,30000,Vodafone Espana,Failure to implement sufficient measures to ensure information security,23
266,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-03-22,40000,Vodafone Espana,Non-compliance with lawful basis for data processing,23
267,Art. 5 (1) c) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-04-15,3600,"AMADOR RECREATIVOS, S.L",Non-compliance with lawful basis for data processing,23
268,Art. 5 (1) c) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-05-08,9000,Private individual,Non-compliance with lawful basis for data processing,23
269,Art. 5 (1) c) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-04-08,20000,Private individual,Non-compliance with lawful basis for data processing,23
270,Art. 5 (1) a) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-05-06,48000,Telefónica SA,Non-compliance with lawful basis for data processing,23
271,"Art. 12 GDPR, Art. 15 GDPR, Art. 17 GDPR",Belgian Data Protection Authority (APD),BELGIUM,2019-12-16,2000,Nursing Care Organization,Information obligation non-compliance,02
272,Art. 6 GDPR,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-12-11,1500,Unknown,Non-compliance with lawful basis for data processing,11
273,Art. 15 GDPR,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-11-18,90,Hospital,Non-compliance with subjects' rights protection safeguards,11
274,"Art. 32 GDPR, Art. 33 GDPR",Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-10-28,7400,Military Hospital,Information obligation non-compliance,11
275,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2019-12-10,1600,Megastar SL,Non-compliance with lawful basis for data processing,23
276,Art. 13 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-12-03,1500,Cerrajeria Verin S.L.,Information obligation non-compliance,23
277,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-12-03,5000,Linea Directa Aseguradora,Non-compliance with lawful basis for data processing,23
278,Art. 5 (1) c) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-11-19,6000,Sports Bar,Non-compliance with lawful basis for data processing,23
279,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-11-06,60000,Vodafone Espana,Non-compliance with lawful basis for data processing,23
280,Art. 5 (1) f) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2019-10-23,60000,Vodafone Espana,Failure to implement sufficient measures to ensure information security,23
281,"<a href=""https://www.privacy-regulation.eu/en/32.htm"">Art. 32 GDPR</a>",Spanish Data Protection Authority (AEPD),SPAIN,2019-12-10,5000,"Shop Macoyn, S.L.",Failure to implement sufficient measures to ensure information security,23
282,"<a href=""https://www.privacy-regulation.eu/en/32.htm"">Art. 32 GDPR</a>",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-12-18,2000,Telekom Romania,Failure to implement sufficient measures to ensure information security,21
283,Art. 58 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-12-16,2000,Globus Score SRL,Non-cooperation with Data Protection Authority,21
284,Art. 58 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-12-02,2000,Nicola Medical Team 17 SRL,Non-cooperation with Data Protection Authority,21
285,Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-11-29,500,Homeowners Association,Failure to implement sufficient measures to ensure information security,21
286,Art. 58 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-11-26,3000,Modern Barber,Non-cooperation with Data Protection Authority,21
287,"<a href=""https://www.privacy-regulation.eu/en/32.htm"">Art. 32 GDPR</a>",Information Commissioner (ICO),UNITED KINGDOM,2019-12-20,320000,Doorstep Dispensaree,Failure to implement sufficient measures to ensure information security,25
288,Art. 5 GDPR,Dutch Supervisory Authority for Data Protection (AP),NETHERLANDS,2019-10-31,50000,Menzis,Non-compliance with lawful basis for data processing,17
289,Art. 21 GDPR,Hellenic Data Protection Authority (HDPA),GREECE,2019-10-18,20000,Wind Hellas Telecommunications,Non-compliance with subjects' rights protection safeguards,10
290,Art. 6 GDPR,Data Protection Authority of Sweden,SWEDEN,2019-12-16,35000,Nusvar AB,Non-compliance with lawful basis for data processing,24
291,"Art. 6 GDPR, Art. 12 GDPR, Art. 13 GDPR",Belgian Data Protection Authority (APD),BELGIUM,2019-12-17,15000,Legal information wesbite,Non-compliance with lawful basis for data processing,02
292,"Art 6 (1) GDPR, Art 58 (2) e) GDPR, Art 83 (5) a) GDPR",Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-09-03,28100,National Revenue Agency,Non-compliance with lawful basis for data processing,03
293,Art. 6 (1) GDPR,Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-09-03,11760,Commercial representative of telecommunication service provider,Non-compliance with lawful basis for data processing,03
294,Art. 6 GDPR,Bulgarian Commission for Personal Data Protection (KZLD),BULGARIA,2019-09-03,5113,Telecommunication service provider,Non-compliance with lawful basis for data processing,03
295,Art. 6 (1) GDPR,Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-10-08,5112,Interior Ministry,Non-compliance with lawful basis for data processing,03
296,"Art. 12 (4) GDPR, Art. 15 GDPR",Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-09-03,1121,Private enforcement agent,Non-compliance with subjects' rights protection safeguards,03
297,"Art. 6 (1) GDPR, Art. 25 (1) GDPR",Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-09-03,1022,Telecom company,Non-compliance with lawful basis for data processing,03
298,"Art. 12 (3) GDPR, Art. 15 (1) GDPR",Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-10-28,511,Employer,Non-compliance with subjects' rights protection safeguards,03
299,Art. 31 GDPR,Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-10-07,511,BD,Lack of cooperation with Data Protection Authority,03
300,Art. 6 GDPR,Data Protection Authority of Mecklenburg-Vorpommern,GERMANY,2019-08-06,800,Police Officer,Non-compliance with lawful basis for data processing,09
301,Art. 6 GDPR,Data Protection Authority of Saarland,GERMANY,2019-01-01,118,Unknown,Non-compliance with lawful basis for data processing,09
302,Art. 5 GDPR,Data Protection Authority of Niedersachsen,GERMANY,2019-12-02,294000,Unknown,Failure to comply with data processing principles,09
303,Art. 32 GDPR,Cypriot Data Protection Commissioner,CYPRUS,2020-01-13,9000,Government agency,Failure to implement sufficient measures to ensure information security,05
304,Art. 6 GDPR,Cypriot Data Protection Commissioner,CYPRUS,2020-01-13,1000,M.L. Pro.Fit Solutions LTD,Non-compliance with lawful basis for data processing,05
305,"Art. 6 GDPR, Art. 9 GDPR",Cypriot Data Protection Commissioner,CYPRUS,2019-10-25,70000,LGS Handling Ltd,Non-compliance with lawful basis for data processing,05
306,"Art. 6 GDPR, Art. 9 GDPR",Cypriot Data Protection Commissioner,CYPRUS,2019-10-25,10000,Louis Travel Ltd,Non-compliance with lawful basis for data processing,05
307,"Art. 6 GDPR, Art. 9 GDPR",Cypriot Data Protection Commissioner,CYPRUS,2019-10-25,2000,Louis Aviation Ltd,Non-compliance with lawful basis for data processing,05
308,"Art. 5 (1) a), (2) GDPR",Hellenic Data Protection Authority (HDPA),GREECE,2020-01-13,15000,Allseas Marine S.A.,Non-compliance with lawful basis for data processing,10
309,"Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR, Art. 21 GDPR",Italian Data Protection Authority (Garante),ITALY,2020-01-17,8500000,Eni Gas e Luce,Non-compliance with lawful basis for data processing,13
310,"Art. 5 GDPR, Art. 6 GDPR",Italian Data Protection Authority (Garante),ITALY,2020-01-17,3000000,Eni Gas e Luce,Non-compliance with lawful basis for data processing,13
311,"Art. 5 GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 21 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2020-01-14,6000,SC Enel Energie S.A.,Non-compliance with lawful basis for data processing,21
312,"Art. 5 (1) GDPR, Art. 6 GDPR, Art. 7 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-12-13,5000,Entirely Shipping & Trading S.R.L.,Non-compliance with lawful basis for data processing,21
313,"Art. 5 (1) GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 9 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-12-13,5000,Entirely Shipping & Trading S.R.L.,Non-compliance with lawful basis for data processing,21
314,"Art. 5 GDPR, Art. 25 GDPR, Art. 32 GDPR, Art. 33 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-12-10,14000,Hora Credit IFN SA,Non-compliance with lawful basis for data processing,21
315,Art. 58 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-01-09,3000,Vodafone Espana,Non-cooperation with Data Protection Authority,23
316,Art. 5 (1) f) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-01-07,44000,Vodafone Espana,Failure to comply with data processing principles,23
317,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-01-07,75000,EDP España S.A.U.,Non-compliance with lawful basis for data processing,23
318,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-01-07,75000,"EDP Comercializadora, S.A.U.",Non-compliance with lawful basis for data processing,23
319,Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-01-07,10000,Asociación de Médicos Demócratas,Non-compliance with lawful basis for data processing,23
